structureNumber,flowChartResult,randomForest,NDOTResult
C001102505P,Yes,,No,
C001102510P,No,No,No,
C001102710,No,No,No,
C001102805,Yes,,,
C001103010,Yes,,,
C001103015,No,,No,
C001103020,Yes,,Yes,
C001103025,Yes,,No,
C001103105,Yes,,No,
C001103105P,Yes,,No,
C001103110P,Yes,,,
C001103305P,Yes,No,No,
C001103505,Yes,,,
C001103755,Yes,,,
C001103810,No,,No,
C001103815,Yes,,No,
C001103815P,Yes,,No,
C001103820P,Yes,,,
C001103825,No,,No,
C001103905P,Yes,,No,
C001103955,Yes,,,
C001104005,Yes,,No,
C001104205,No,,No,
C001104402,Yes,,No,
C001104405,Yes,,No,
C001104410,Yes,,No,
C001104415,Yes,,No,
C001104505,No,,,
C001104607,Yes,,No,
C001104610,Yes,,No,
C001104615,Yes,,,
C001104803,Yes,,No,
C001104810,Yes,No,No,
